domain	uc_code	uc_name	page_id	depth1	depth2	depth3	dev_type	description	from	flow_type	owner_page	owner_uc	legacy_screen_id	출처서비스	통합여부
앱-ORD	US-ORD-JON-001	주문/계약/가입 진행	NOVA-ORD-PG-010-0	장바구니	주문/가입	배송 정보 입력	PG	배송 유형(택배·당일·매장픽업·직접수령) 선택 및 배송지·수령 연락처 입력. eSIM 개통 분기			✅	✅	TD-ORD-DLV-MOPC-19-PG-168; TD-ORD-DLV-MOPC-19-PG-169; TD-ORD-DLV-MOPC-19-PG-170; TD-ORD-DLV-MOPC-19-PG-171; TD-ORD-DLV-MOPC-19-PG-172	TD	●
앱-ORD	US-ORD-JON-001	주문/계약/가입 진행	NOVA-ORD-PG-011-0	장바구니	주문/가입	가입 정보 확인	PG	납부 방법(계좌이체·카드·통합청구) 입력 및 가입 정보 최종 확인. USIM/eSIM 선택 포함	배송 정보 입력		✅	✅	TD-ORD-JOIN-MOPC-19-PG-156; TD-ORD-JOIN-MOPC-19-PG-157; TD-ORD-JOIN-MOPC-19-PG-161; TD-ORD-JOIN-MOPC-19-PG-163; TD-ORD-JOIN-MOPC-19-PG-164; TD-ORD-JOIN-MOPC-19-PG-165	TD	●
앱-ORD	US-ORD-JON-001	주문/계약/가입 진행	NOVA-ORD-PG-012-0	장바구니	주문/가입	약관 동의	PG	전자서명 및 최종 약관 동의. 필수/선택 항목 구분. 전체 동의 후 주문 제출	가입 정보 확인		✅	✅	TD-ORD-JOIN-MO-23-PG-034; TD-ORD-JOIN-MO-24-PG-032; TD-ORD-JOIN-MOPC-19-PG-190	TD	●
앱-ORD	US-ORD-JON-001	주문/계약/가입 진행	NOVA-ORD-CP-001-0	장바구니	주문/가입	본인인증	CP	주문 제출 전 본인확인. 내국인(이름·주민번호)·외국인·미성년자(법정대리인) 분기. 1st·2nd 인증 단계 포함	약관 동의		✅	✅	TD-ORD-AUTH-MOPC-19-PG-001; TD-ORD-AUTH-MOPC-19-PG-048; TD-ORD-AUTH-MOPC-19-PG-065; TD-ORD-AUTH-MO-23-PG-001; TW-ORD-AUTH-MO-010-PG-001	TW, TD	●
앱-ORD	US-ORD-JON-002	주문 완료 및 계약 확인	NOVA-ORD-PG-013-0	장바구니	주문/가입	주문 완료	PG	개통 접수 완료 화면. 주문번호·배송 예정일·다음 단계(개통 안내·배송 조회) 안내. 가입 유형별 완료 메시지 분기	약관 동의		✅	✅	TD-ORD-JOIN-MO-23-PG-041; TD-ORD-JOIN-MO-24-PG-039; TD-ORD-JOIN-MOPC-19-PG-194; TD-ORD-JOIN-MOPC-19-PG-196; TW-ORD-JOIN-MOPC-44-PG-020	TW, TD	●
앱-ORD	US-ORD-JON-002	주문 완료 및 계약 확인	NOVA-ORD-PG-014-0	장바구니	주문/가입	계약서	PG	전자계약서 조회·저장·발송. 주문 완료 직후 및 주문 상세에서 재조회 가능	주문 완료		✅	✅	TD-ORD-JOIN-MO-40-PG-021; TW-ORD-CHG-MOPC-013-PG-006	TW, TD	●
앱-ORD	US-ORD-JON-003	주문 이어하기 및 오류 처리	NOVA-ORD-PG-015-0	장바구니	주문/가입	주문 이어하기	PG	이전 미완성 주문 복원. 진행 단계·입력값 자동 채움. 유효 기간 초과·상품 변동 시 경고 안내		케이스 1	✅	✅			
앱-ORD	US-ORD-JON-003	주문 이어하기 및 오류 처리	NOVA-ORD-PG-016-0	장바구니	주문/가입	주문 실패/오류	PG	개통 실패·시스템 오류·FDS 보류 안내. 사유별 재시도·보류·상담 전환 경로 분기	약관 동의	예외 1	✅	✅	TD-ORD-JOIN-MO-23-PG-042; TD-ORD-JOIN-MO-23-PG-043; TD-ORD-JOIN-MO-24-PG-040; TD-ORD-JOIN-MO-24-PG-041	TD	●
앱-ORD	US-ORD-JON-001	주문/계약/가입 진행	NOVA-ORD-PG-017-0	장바구니	주문/가입 (인터넷/Btv)		PG	인터넷·B tv 가입 신청. 설치 정보·상품 선택·납부 방법 입력. 기기변경/번호이동과 별도 주문서 분기	장바구니	케이스 1	✅	✅	TD-ORD-JOIN-MO-41-PG-001; TD-ORD-JOIN-MO-41-PG-002; TD-ORD-JOIN-MO-41-PG-004; TD-ORD-JOIN-MO-41-PG-020; TD-ORD-JOIN-MOPC-25-PG-001; TD-ORD-JOIN-MOPC-25-PG-005	TD	●
앱-ORD	US-ORD-FUL-001	주문 상태 조회 및 배송 관리	NOVA-ORD-PG-018-0	장바구니	주문내역		PG	전체 주문 통합 조회. 진행중·완료·취소 탭 구성. 비회원 조회(주문번호+연락처) 지원. 마이에서도 진입 가능	주문 완료; 마이		✅	✅	TU-ORD-DLV-MO-11-PG-001-1; TU-ORD-DLV-MO-11-PG-001-2; TW-ORD-CHG-MOPC-013-PG-001; TD-ORD-JOIN-MO-40-PG-022	TW, TU, TD	●
앱-ORD	US-ORD-FUL-001	주문 상태 조회 및 배송 관리	NOVA-ORD-PG-019-0	장바구니	주문내역	주문 상세	PG	주문 건별 상태 타임라인. 상품·금액·배송지·계약서·변경 가능 항목 표시. 다음 행동(배송조회·교환·반품·취소) 진입			✅	✅	TU-ORD-DLV-MO-11-PG-002; TD-ORD-JOIN-MO-40-PG-021	TU, TD	●
앱-ORD	US-ORD-FUL-001	주문 상태 조회 및 배송 관리	NOVA-ORD-PG-020-0	장바구니	주문내역	배송 현황	PG	배송 단계별 진행 상태. 택배사 연동 실시간 위치. 바로도착·매장픽업·설치 일정 분기	주문 상세		✅	✅	TU-ORD-DLV-MO-11-PG-002; TM-ORD-DLV-MO-16-PG-033; TM-ORD-DLV-MO-16-PG-041	TU, TM	●
앱-ORD	US-ORD-FUL-001	주문 상태 조회 및 배송 관리	NOVA-ORD-PG-021-0	장바구니	주문내역	배송지/수령방법 변경	PG	배송 출발 전 배송지·수령방법(택배→매장픽업 등) 변경. 변경 가능 기간·조건 안내	주문 상세		✅	✅	TD-ORD-DLV-MOPC-19-PG-168; TD-ORD-DLV-MOPC-19-PG-172; TD-ORD-DLV-MOPC-19-PG-173	TD	●
앱-ORD	US-ORD-FUL-001	주문 상태 조회 및 배송 관리	NOVA-ORD-PG-022-0	장바구니	주문내역	설치 일정 변경	PG	인터넷·Btv 설치 일정 변경 신청. 가능 일시 캘린더 선택. 변경 완료 안내 포함	주문 상세		✅	✅			
앱-ORD	US-ORD-FUL-001	주문 상태 조회 및 배송 관리	NOVA-ORD-PG-023-0	장바구니	주문내역	결제 내역	PG	주문별 결제 금액·수단·상태 조회. 구독 정기결제·선물 결제 포함. 환불 내역 연결	주문 상세		✅	✅	TU-ORD-PAY-MO-12-PG-001-1; TU-ORD-PAY-MO-12-PG-001-2; TU-ORD-PAY-MO-12-PG-002-1; TU-ORD-PAY-MO-12-PG-002-2; TM-ORD-PAY-MO-07-PG-031; TM-ORD-PAY-MO-07-PG-033	TU, TM	●
앱-ORD	US-ORD-FUL-002	교환/반품 신청	NOVA-ORD-PG-024-0	장바구니	주문내역	교환 신청	PG	상품 교환 사유 선택·증빙 업로드·수거 방법 선택. 교환 가능 여부 판정 결과 안내 포함	주문 상세		✅	✅	TU-ORD-DLV-MO-11-PG-005; TU-ORD-DLV-MO-11-PG-006; TU-ORD-DLV-MO-11-PG-007; TU-ORD-DLV-MO-11-PG-008; TU-ORD-DLV-MO-11-PG-009	TU	●
앱-ORD	US-ORD-FUL-002	교환/반품 신청	NOVA-ORD-PG-025-0	장바구니	주문내역	반품 신청	PG	반품 사유 선택·수거 방법(택배·방문) 선택·환불 계좌 입력. 반품 가능 기간 초과 시 예외 안내	주문 상세	케이스 1	✅	✅	TU-ORD-DLV-MO-11-PG-003; TU-ORD-DLV-MO-11-PG-004; TU-ORD-DLV-MO-11-PG-010; TM-ORD-CCL-MO-07-PG-012	TU, TM	●
앱-ORD	US-ORD-FUL-002	교환/반품 신청	NOVA-ORD-PG-026-0	장바구니	주문내역	교환/반품 완료	PG	교환·반품 접수 완료 및 이후 수거·재배송 일정 안내. 진행 상태 타임라인 포함	교환 신청; 반품 신청		✅	✅	TM-ORD-CCL-MO-07-PG-015	TM	●
앱-ORD	US-ORD-GFT-001	선물 발송 및 수신	NOVA-ORD-PG-027-0	장바구니	선물주문		PG	선물 발송 진입. 선물 가능 상품 확인 및 수신자 입력. 상품상세 '선물하기' CTA 또는 T우주 선물 추천에서 진입	상품상세		✅	✅	TU-ORD-GFT-MO-08-PG-002; TU-ORD-PAY-MO-10-PG-001-3	TU	●
앱-ORD	US-ORD-GFT-001	선물 발송 및 수신	NOVA-ORD-PG-028-0	장바구니	선물주문	수신자 입력	PG	수신자 연락처·이름 입력 및 수신자 자격 확인(가입 여부·중복 제한 등)			✅	✅	TU-ORD-GFT-MO-08-PG-001	TU	●
앱-ORD	US-ORD-GFT-001	선물 발송 및 수신	NOVA-ORD-PG-029-0	장바구니	선물주문	메시지 선택	PG	선물 메시지 카드 선택·직접 입력. 발송 방법(문자·카카오톡) 및 즉시/예약 발송 선택	수신자 입력		✅	✅			
앱-ORD	US-ORD-GFT-001	선물 발송 및 수신	NOVA-ORD-PG-030-0	장바구니	선물주문	선물 발송 완료	PG	발송 완료 화면. 문자/카카오톡 발송 채널 분기 안내. 예약 발송 시 발송 예정 일시 표시	메시지 선택		✅	✅	TU-ORD-PAY-MO-10-PG-003-4-1; TU-ORD-PAY-MO-10-PG-003-4-2	TU	●
앱-ORD	US-ORD-GFT-001	선물 발송 및 수신	NOVA-ORD-PG-031-0	장바구니	선물주문	선물 수신/수락	PG	선물 링크 수신 후 내용 확인 및 수락. 본인확인 후 수락/거절 선택. 수락 시 주문서 자동 생성 또는 선물함 등록		케이스 1	✅	✅	TU-ORD-PAY-MO-10-PG-001-4; TU-ORD-PAY-MO-10-PG-003-5	TU	●
앱-ORD	US-ORD-GFT-001	선물 발송 및 수신	NOVA-ORD-PG-032-0	장바구니	선물주문	선물함	PG	수신한 선물 목록 조회. 사용가능·만료임박·사용완료·거절 탭 구성. 선물 사용 경로 연결			✅	✅			
앱-ORD	US-ORD-TRM-001	해지/취소/환불 신청	NOVA-ORD-PG-033-0	장바구니	해지/취소/환불		PG	해지·취소 대상 선택 및 처리 가능 여부 판정. 취소 가능 기간·상태 확인. 불가 시 사유 및 대체 경로 안내	주문 상세; 마이		✅	✅	TU-ORD-CCL-MO-11-PG-001; TU-ORD-CCL-MO-11-1-PG-001; TW-ORD-CCL-MOPC-013-PG-001; TM-ORD-CCL-MO-07-PG-001	TW, TU, TM	●
앱-ORD	US-ORD-TRM-001	해지/취소/환불 신청	NOVA-ORD-PG-034-0	장바구니	해지/취소/환불	영향 안내 (위약금/환불)	PG	해지·취소 시 위약금·할인반환금·환불액 산정 결과 안내. 혜택 소멸 항목 고지. 최종 동의 후 다음 단계			✅	✅	TU-ORD-CCL-MO-11-PG-005; TU-ORD-CCL-MO-11-PG-006; TU-ORD-CCL-MO-11-PG-008	TU	●
앱-ORD	US-ORD-TRM-001	해지/취소/환불 신청	NOVA-ORD-CP-001-0	장바구니	해지/취소/환불	본인인증	CP	해지·취소 최종 접수 전 본인확인(공통 CP 참조)	영향 안내 (위약금/환불)						
앱-ORD	US-ORD-TRM-001	해지/취소/환불 신청	NOVA-ORD-PG-035-0	장바구니	해지/취소/환불	해지/취소 완료	PG	해지·취소 접수 완료. 처리 예정일·환불 계좌·후속 안내(단말 반납·개통 취소 등) 표시	본인인증		✅	✅	TU-ORD-CCL-MO-11-1-PG-006; TW-ORD-CCL-MOPC-44-PG-029; TW-ORD-CCL-MOPC-46-PG-043; TM-ORD-CCL-MO-07-PG-015	TW, TU, TM	●
앱-ORD	US-ORD-TRM-001	해지/취소/환불 신청	NOVA-ORD-PG-036-0	장바구니	해지/취소/환불	환불 내역	PG	취소·해지 건별 환불 금액·수단·처리 상태 조회. 선물 취소 환불 포함	해지/취소 완료; 결제 내역		✅	✅	TU-ORD-CCL-MO-12-PG-003-1; TU-ORD-CCL-MO-12-PG-003-2; TU-ORD-CCL-MO-12-PG-003-3	TU	●
앱-ORD	US-ORD-TRM-001	해지/취소/환불 신청	NOVA-ORD-PG-037-0	장바구니	해지/취소/환불	예약 해지 관리	PG	예약 해지 내역 조회 및 철회 신청. 철회 가능 기간 안내. 철회 완료 시 원상 복구 확인		케이스 1	✅	✅	TU-ORD-CCL-MO-11-1-PG-003-1; TU-ORD-CCL-MO-11-1-PG-003-3	TU	●
