채널 구분	기능	근거	영향 IA	복잡도	빈도 	우선순위	현업 검토 의견	현업 확인 (fadeout가능 O)	현업팀
	인증마크 통합조회 페이지	수상·인증 내역 중심의 콘텐츠 메뉴로, 별도 메뉴 운영 필요성이 낮은 항목	1	하	하	P3	이견없음. 단 별도 페이지는 필요 없으나 모바일 푸터 내 인증마크 노출 되어야 함	O (단, 푸터내 인증마크노출 필요)	T서비스기획1팀
	PC) IE 브라우저 지원 종료 안내	브라우저 지원 종료 안내 중심의 고지성 메뉴로, 접속 환경 기반 안내가 더 적합한 항목	1	하	하	P3	이견없음	O	T서비스기획1팀
	PC) 이메일 무단 수집 거부	이용률이 낮은 고지성 메뉴로, 별도 유지 필요성이 낮은 항목	1	하	하	P3	의무 고지사항으로 반영 필요 (별도 페이지일 필요는 없으나 사이트 어딘가에 고지 필요)	O (단, 해당 컨텐츠/안내 수용필요)	T서비스기획1팀
	사이트 이용방법	앱 이용 가이드와 유사한 성격의 콘텐츠 메뉴로, 정보 중복	3	하	하	P3	이견없음	O	T서비스기획1팀
	서비스 장애 안내	서비스 장애 정보 제공 중심의 고지성 메뉴로, 공지사항 체계로 통합	2	하	하	P3	고객Care팀, Network CEM팀 협의 필요 (규제 상 필수 고지사항이며, 기존 사업 요건이 모아서 보여달라는 것)	O (단, 해당 컨텐츠/안내 수용필요)	T서비스기획1팀
	Global 별도 페이지	외국인 전용 별도 메뉴 구조로, AI 번역 기반 대체 추진	47	상	중	P4	이견없음	O	T서비스기획1팀
	이럴 땐 이렇게 하세요	이미지 중심 FAQ성 콘텐츠로, 분산 운영에 따른 메뉴 구조 복잡도 증가	2	중	중	P5	이견없음. 단, 기존 메뉴체계 내에 통합되기 어려운 정보 전달 페이지는 필요할 수 있으니, 이를 Next 채널에 어떻게 반영할지는 검토 필요	O (단, 해당 컨텐츠/안내 수용필요)	T서비스기획1팀
	나의 pass 지갑	별도 메뉴 유지 필요성이 낮은 항목	-	중	중	P5	신범식/Pass사업팀 협의 필요	O  (단, Pass 메인페이지로의 경로1개정도는 유지 필요)	T서비스기획1팀, PASS사업
	이용자 피해 예방 센터	예방 정보 중심의 FAQ성 메뉴로, 정보 중복과 구조 비대화 가능성이 있는 항목	14	중	중	P5	고객 Care팀 협의 필요  (참고 : 당사 이용자보호 평가대응용 서비스로 유지하고자 하는 사업 Needs 존재 - '이용자 보호 업무 관련 메일' 시트 참고)	O (단, 해당 컨텐츠/안내 수용필요)	T서비스기획1팀
	서브메인 (MY CS layer)	동일/유사 정보의 중복 제공하는 중간 구조로 효율화 대상	3	중	상	P8	이견없음. Next 채널의 화면 구조에 따라 판단 필요	O	T서비스기획1팀
	T앱 상품 상세/ 스크린샷 자세히 보기	앱스토어 직접 연결로 대체 가능한 상세 화면으로, 별도 운영 필요성이 낮은 항목	-	하	상	P9	이견없음  (참고 : 스토어 이동 시 "데이터통화료 과금 안내"가 되어야 해서 당사 서비스 이므로 이동 없이 보여 주기 위해 구현된 기능임)	O	T서비스기획1팀
T 우주 FO	패밀리 멤버	일부 화면만 제한적으로 운영 중인 영역으로, 이용률과 체감 효용이 모두 낮은 항목	5	상	하	P1	fade out 이견없음	O	T서비스기획1팀
	정기배송	정기배송 관련 별도 별도 페이지/플로우 구조로, 구독관리 상세 내 통합 가능성이 있는 항목	24	상	하	P1	삭제해도 될 메뉴	O	T서비스기획1팀
	GPPP, 그룹상품 등	구조 복잡도와 이해 난이도가 높은 상품 유형으로, 빠른 의사결정 흐름에 적합하지 않은 항목	5	상	하	P1	구독상품팀 확인 필요	O	T서비스기획1팀
	선물하기	추천 선물 리스트와 선물하기 기능 중심의 영역으로, 이용 빈도가 낮은 항목	24	중	하	P2	fade out 이견없음	O	T서비스기획1팀
	카테고리 구성 상세 필터	상세 조건 중심의 필터 기능으로, 활용도 대비 사용자 경험 복잡도를 높이는 항목	6	중	하	P2	fade out 이견없음	O	T서비스기획1팀
	알선형 상품	단발성/중개형 성격의 상품 영역으로, 메인 상품 대비 효율이 낮은 항목	1	중	하	P2	삭제해도 될 메뉴	O	T서비스기획1팀
	이벤트 초대 기능	메인 UX 흐름과 직접 연계성이 낮은 초대 기능으로, 대체 유입 수단 존재 가능성이 높은 항목	4	중	하	P2	fade out 이견없음	O	T서비스기획1팀
	카테고리 메뉴 배너 상세 (AI Pick, Exclusive)	카테고리 메인 상품의 재배열 성격이 강한 상세 배너 구조로, 정보 중복도가 높은 항목	3	하	하	P3	fade out 이견없음	O	T서비스기획1팀
	좋아요 (찜하기)	장바구니와 목적이 유사한 찜하기 기능으로, 역할 중복 가능성이 높은 항목	2	하	하	P3	fade out 이견없음	O	T서비스기획1팀
	환불 계좌 관리	환불 발생 맥락과 분리된 상시 메뉴 구조로, 상황형 노출 방식이 더 적합한 항목	5	중	중	P5	fade out 이견없음	O	T서비스기획1팀
	설정 페이지	사용자명 진입 화면과 설정 페이지 간 항목 중복 구조로, 화면 역할 구분이 모호한 항목	5	하	중	P6	기능 자체는 유지 필요해 보임 (단, 구성 재구성)	O	T서비스기획1팀
	최근 본 상품	찜하기/장바구니와 유사한 목적의 이력성 기능으로, 역할 중복 가능성이 있는 항목	2	하	중	P6	fade out 이견없음	O	T서비스기획1팀
	해지방어 오퍼링	해지 과정 내 다단계 오퍼링 구조로, 사용자 피로와 절차 복잡도를 높이는 항목	10	상	상	P7	fade out 이견없음	O	T서비스기획1팀
	(추가)배송지 관리	배송지 정보 입력/관리 영역으로 정기배송 상품 일괄 퇴출하고, 추후 알선형 상품 출시계획이 없어 메뉴 미제공 예정					삭제해도 될 메뉴	O	T서비스기획1팀
T 다이렉트 FO	콘텐츠 기반 이용 안내 페이지 (티다 웰컴북, 티다 가이드북, 개통안내)	주문/개통 과정과 중복되는 안내 페이지로, 프로세스 내 안내로 대체 가능	136	하	하	P3	• 티다 웰컴북: 마케팅팀 별도 관리로 Fade-out 여부 확인 필요 • 개통안내는 MMS URL 안내 목적 유지 필요 • 티다 가이드북은 신규 기획전 관리 페이지 내 포함 필요	O (단, 해당 컨텐츠/안내 수용필요)	T서비스기획2팀
	고객센터_For foreign customers	PC 화면만 존재함에도 모바일 유입 경로만 제공되는 비정상 운영 구조	1	하	하	P3	• Next 채널에서 통합 외국인 고객용 화면 필요 • MO→PC Redirect 구조 제거 필요	O	T서비스기획2팀
	휴대폰/태블릿 요금제 전체보기 팝업	프로세스별 상이한 요금제 전체보기 팝업 구조로 UX 일관성·운영 효율 낮음	48	상	중	P4	• 채널 공통 안내는 Share 가능 • 온라인 전용 요금제/혜택 등 TDS 전용 상품 존재로 팝업 유지 필요 • PC/MO/In-App UX 일관성 및 채널별 전시 관리 필요	O (단, 해당 컨텐츠/안내 수용필요)	T서비스기획2팀
	인터넷&B tv 및 결합할인 리스트	인터넷/B tv/결합할인 리스트 분산 운영 구조로 개별 운영 화면 유지 필요성 낮음	16	상	중	P4	• 결합할인+사은품 일부 재분류 가능 • 인터넷/B tv 리스트 통합은 고객 혼란 가능성	O	T서비스기획2팀
	주문 프로세스 내 근처 매장찾기 팝업	재고 수량 기준 분기된 매장찾기 팝업 구조로 운영 복잡도 높음	3	중	중	P5	• 바로픽업 서비스 운영 위해 유지 필요	O	T서비스기획2팀
	액세서리 상세	모바일/액세서리 상품 상세 공통 운영 가능 구조로 운영 리소스 절감 가능	4	중	중	P5	• UX 통일 필요 • 모바일과 액세서리 프로세스 상이로 공통 운영 어려움	O	T서비스기획2팀
	이것이 궁금해요.(FAQ)	FAQ 통합 운영 시 별도 유지 필요성 낮은 하드코딩 기반 메뉴	2	하	중	P6	• Fade-out 이견 없음  • FAQ 통합 운영 시 마케팅팀 권한 부여 필요	O	T서비스기획2팀
	인증기능 통합 (로그인 인증, 본인확인 인증, 결제 인증)	프로세스별 분산 인증 구조로 운영 비효율 및 UX 불일치 유발	36	상	상	P7	• 로그인 인증과 별도로 주문/결제 각각 인증 요구 중 • 법무 검토 필요	O	T서비스기획2팀
	요금제 보기·요금제 선택 영역 중 케이스별 분기 처리 영역	요금제 유형별 분기 구조 다수로 운영 복잡도 및 고객 인지 부담 높음	16	상	상	P7	• 상품 Scheme 기반 분기(예: 다이렉트 플랜 약정 불가)는 불가피 • 상세 Case 추가 협의 필요	O	T서비스기획2팀
	기획전/이벤트 페이지	전용 이벤트/기획전 운영 페이지로 통합 이벤트 플랫폼 전환 시 중복 가능성 존재	3	중	상	P8	• Fade-out 이견 없음	O	T서비스기획2팀
